item,min,sec,clothing_type
1,2,58.95,t-shirt
2,1,34.92,t-shirt
3,2,01.66,t-shirt
4,1,17.27,t-shirt
5,3,23.75,long-sleeved shirt
6,2,46.33,short-sleeved shirt
7,1,11.23,t-shirt
8,1,04.66,t-shirt
9,2,13.11,short-sleeved shirt
10,3,19.30,short-sleeved shirt
11,2,48.83,short-sleeved shirt
12,2,13.72,short-sleeved shirt
13,1,18.69,t-shirt
14,2,46.34,long-sleeved shirt
15,2,12.45,t-shirt
16,1,31.26,t-shirt
17,1,15.34,t-shirt
18,1,47.35,t-shirt
19,1,38.51,t-shirt
20,1,48.59,t-shirt
21,0,58.53,t-shirt
